record,name,year,debut,region,team,pos,gp,k
--------xx-,Langx,2020,2019,CN,LGD Gaming,Top,23,62
--------xx-,Nemesis,2020,2019,EU,Fnatic,Middle,21,61
---------x-,369,2020,2020,CN,Top Esports,Top,15,40
---------x-,Acce,2020,2020,LLA,Rainbow7,Top,7,13
---------x-,Ace,2020,2020,LJL,V3 Esports,Middle,5,11
---------x-,Aloned,2020,2020,LLA,Rainbow7,Middle,7,23
---------x-,Angel,2020,2020,CN,Suning,Middle,19,64
---------x-,Archer,2020,2020,LJL,V3 Esports,ADC,5,18
---------x-,Bin,2020,2020,CN,Suning,Top,19,74
---------x-,Broken Blade,2020,2020,NA,TSM,Top,6,13
---------x-,Bruce,2020,2020,PCS,Machi Esports,ADC,6,8
---------x-,Bugi,2020,2020,LJL,V3 Esports,Jungle,5,12
---------x-,Dee,2020,2020,PCS,PSG Talon,ADC,3,9
---------x-,Doran,2020,2020,KR,DRX,Top,9,22
---------x-,Envy,2020,2020,BRL,INTZ,Middle,5,8
---------x-,Finn,2020,2020,EU,Rogue,Top,6,9
---------x-,Gadget,2020,2020,CIS,Unicorns of Love.CIS,ADC,14,44
---------x-,huanfeng,2020,2020,CN,Suning,ADC,19,76
---------x-,Isles,2020,2020,OCE,Legacy Esports,Support,8,3
---------x-,Josedeodo,2020,2020,LLA,Rainbow7,Jungle,7,22
---------x-,Kanavi,2020,2020,CN,JD Gaming,Jungle,10,26
---------x-,knight,2020,2020,CN,Top Esports,Middle,15,52
---------x-,Leza,2020,2020,LLA,Rainbow7,ADC,7,13
---------x-,LokeN,2020,2020,CN,JD Gaming,ADC,10,33
---------x-,LvMao,2020,2020,CN,JD Gaming,Support,10,17
---------x-,Mark,2020,2020,CN,LGD Gaming,Support,17,20
---------x-,Orome,2020,2020,EU,MAD Lions,Top,10,24
---------x-,Paz,2020,2020,LJL,V3 Esports,Top,5,8
---------x-,Pyosik,2020,2020,KR,DRX,Jungle,9,37
---------x-,Raes,2020,2020,OCE,Legacy Esports,ADC,8,34
---------x-,Raina,2020,2020,LJL,V3 Esports,Support,5,2
---------x-,Selfmade,2020,2020,EU,Fnatic,Jungle,11,37
---------x-,shad0w,2020,2020,EU,MAD Lions,Jungle,10,26
---------x-,Shadow,2020,2020,LLA,Rainbow7,Support,7,5
